WBGene00000001	detected
WBGene00000002	detected
WBGene00000003	detected
WBGene00000004	detected
WBGene00000006	detected
WBGene00000017	detected
WBGene00000018	detected
WBGene00000020	detected
WBGene00000031	detected
WBGene00000035	detected
WBGene00000036	detected
WBGene00000037	enriched
WBGene00000038	detected
WBGene00000040	detected
WBGene00000041	detected
WBGene00000042	detected
WBGene00000044	detected
WBGene00000048	detected
WBGene00000051	detected
WBGene00000054	detected
WBGene00000055	detected
WBGene00000056	detected
WBGene00000057	detected
WBGene00000058	detected
WBGene00000059	detected
WBGene00000060	detected
WBGene00000062	detected
WBGene00000063	detected
WBGene00000064	detected
WBGene00000065	detected
WBGene00000066	detected
WBGene00000067	detected
WBGene00000068	enriched
WBGene00000069	detected
WBGene00000070	detected
WBGene00000071	detected
WBGene00000072	enriched
WBGene00000073	detected
WBGene00000074	detected
WBGene00000079	detected
WBGene00000080	detected
WBGene00000081	detected
WBGene00000083	detected
WBGene00000085	detected
WBGene00000086	enriched
WBGene00000088	enriched
WBGene00000089	enriched
WBGene00000090	detected
WBGene00000092	enriched
WBGene00000093	detected
WBGene00000094	detected
WBGene00000095	detected
WBGene00000096	detected
WBGene00000097	detected
WBGene00000099	detected
WBGene00000100	detected
WBGene00000101	detected
WBGene00000102	detected
WBGene00000103	detected
WBGene00000105	detected
WBGene00000106	detected
WBGene00000107	detected
WBGene00000109	detected
WBGene00000110	detected
WBGene00000112	detected
WBGene00000113	detected
WBGene00000114	detected
WBGene00000115	detected
WBGene00000117	detected
WBGene00000118	detected
WBGene00000120	detected
WBGene00000121	detected
WBGene00000122	detected
WBGene00000123	detected
WBGene00000134	detected
WBGene00000135	detected
WBGene00000137	detected
WBGene00000138	detected
WBGene00000140	detected
WBGene00000142	detected
WBGene00000143	detected
WBGene00000145	detected
WBGene00000146	detected
WBGene00000147	detected
WBGene00000148	detected
WBGene00000149	detected
WBGene00000150	detected
WBGene00000151	detected
WBGene00000155	detected
WBGene00000156	detected
WBGene00000157	detected
WBGene00000158	detected
WBGene00000159	detected
WBGene00000160	detected
WBGene00000161	detected
WBGene00000162	enriched
WBGene00000163	detected
WBGene00000164	detected
WBGene00000165	detected
WBGene00000166	enriched
WBGene00000170	detected
WBGene00000173	detected
WBGene00000175	detected
WBGene00000176	detected
WBGene00000178	detected
WBGene00000179	detected
WBGene00000180	detected
WBGene00000181	detected
WBGene00000182	detected
WBGene00000183	detected
WBGene00000184	detected
WBGene00000186	detected
WBGene00000187	detected
WBGene00000188	enriched
WBGene00000192	detected
WBGene00000193	detected
WBGene00000195	enriched
WBGene00000196	detected
WBGene00000197	detected
WBGene00000198	detected
WBGene00000199	detected
WBGene00000200	detected
WBGene00000201	detected
WBGene00000202	detected
WBGene00000203	detected
WBGene00000204	detected
WBGene00000205	detected
WBGene00000206	detected
WBGene00000207	detected
WBGene00000208	detected
WBGene00000209	detected
WBGene00000210	detected
WBGene00000214	detected
WBGene00000216	detected
WBGene00000217	detected
WBGene00000219	detected
WBGene00000220	detected
WBGene00000221	detected
WBGene00000222	detected
WBGene00000223	detected
WBGene00000224	detected
WBGene00000225	detected
WBGene00000226	detected
WBGene00000228	detected
WBGene00000229	detected
WBGene00000230	detected
WBGene00000231	detected
WBGene00000232	enriched
WBGene00000233	detected
WBGene00000235	detected
WBGene00000236	detected
WBGene00000237	enriched
WBGene00000238	detected
WBGene00000239	detected
WBGene00000240	detected
WBGene00000241	detected
WBGene00000244	detected
WBGene00000245	detected
WBGene00000247	detected
WBGene00000248	enriched
WBGene00000249	detected
WBGene00000254	detected
WBGene00000256	detected
WBGene00000259	enriched
WBGene00000262	enriched
WBGene00000263	detected
WBGene00000266	detected
WBGene00000268	detected
WBGene00000269	detected
WBGene00000271	detected
WBGene00000273	detected
WBGene00000274	detected
WBGene00000275	detected
WBGene00000276	detected
WBGene00000277	enriched
WBGene00000279	enriched
WBGene00000280	enriched
WBGene00000281	detected
WBGene00000282	detected
WBGene00000283	detected
WBGene00000284	enriched
WBGene00000285	detected
WBGene00000286	enriched
WBGene00000287	detected
WBGene00000288	enriched
WBGene00000289	enriched
WBGene00000292	detected
WBGene00000293	detected
WBGene00000294	detected
WBGene00000295	enriched
WBGene00000296	detected
WBGene00000298	detected
WBGene00000301	detected
WBGene00000366	detected
WBGene00000367	enriched
WBGene00000368	enriched
WBGene00000369	detected
WBGene00000370	detected
WBGene00000371	detected
WBGene00000376	detected
WBGene00000377	detected
WBGene00000378	detected
WBGene00000379	detected
WBGene00000380	detected
WBGene00000381	detected
WBGene00000382	detected
WBGene00000383	detected
WBGene00000386	detected
WBGene00000387	detected
WBGene00000390	detected
WBGene00000391	detected
WBGene00000392	detected
WBGene00000393	detected
WBGene00000396	detected
WBGene00000401	detected
WBGene00000403	enriched
WBGene00000407	detected
WBGene00000408	detected
WBGene00000409	detected
WBGene00000410	detected
WBGene00000411	detected
WBGene00000414	detected
WBGene00000415	detected
WBGene00000416	detected
WBGene00000417	detected
WBGene00000418	detected
WBGene00000419	detected
WBGene00000420	detected
WBGene00000421	detected
WBGene00000423	detected
WBGene00000424	detected
WBGene00000426	detected
WBGene00000431	detected
WBGene00000433	detected
WBGene00000434	detected
WBGene00000435	detected
WBGene00000436	detected
WBGene00000437	detected
WBGene00000438	detected
WBGene00000439	detected
WBGene00000440	detected
WBGene00000441	detected
WBGene00000442	detected
WBGene00000443	enriched
WBGene00000444	detected
WBGene00000446	detected
WBGene00000447	enriched
WBGene00000448	detected
WBGene00000449	enriched
WBGene00000452	detected
WBGene00000453	enriched
WBGene00000455	detected
WBGene00000457	detected
WBGene00000459	detected
WBGene00000460	detected
WBGene00000462	detected
WBGene00000463	detected
WBGene00000464	enriched
WBGene00000465	detected
WBGene00000466	detected
WBGene00000467	detected
WBGene00000472	detected
WBGene00000473	detected
WBGene00000474	detected
WBGene00000475	detected
WBGene00000476	enriched
WBGene00000478	detected
WBGene00000479	detected
WBGene00000480	detected
WBGene00000482	enriched
WBGene00000484	detected
WBGene00000485	detected
WBGene00000488	detected
WBGene00000490	detected
WBGene00000491	detected
WBGene00000492	detected
WBGene00000497	detected
WBGene00000500	detected
WBGene00000501	enriched
WBGene00000502	detected
WBGene00000506	detected
WBGene00000507	detected
WBGene00000508	detected
WBGene00000509	detected
WBGene00000510	enriched
WBGene00000511	detected
WBGene00000514	detected
WBGene00000515	detected
WBGene00000516	detected
WBGene00000517	detected
WBGene00000518	enriched
WBGene00000519	detected
WBGene00000520	detected
WBGene00000524	detected
WBGene00000527	detected
WBGene00000528	detected
WBGene00000529	enriched
WBGene00000530	detected
WBGene00000532	detected
WBGene00000533	detected
WBGene00000534	detected
WBGene00000535	detected
WBGene00000536	detected
WBGene00000537	detected
WBGene00000540	detected
WBGene00000542	detected
WBGene00000543	detected
WBGene00000545	detected
WBGene00000547	detected
WBGene00000548	detected
WBGene00000549	detected
WBGene00000550	detected
WBGene00000552	detected
WBGene00000553	enriched
WBGene00000554	enriched
WBGene00000564	detected
WBGene00000565	detected
WBGene00000566	detected
WBGene00000567	detected
WBGene00000584	enriched
WBGene00000585	detected
WBGene00000591	detected
WBGene00000594	detected
WBGene00000597	detected
WBGene00000599	detected
WBGene00000601	detected
WBGene00000603	detected
WBGene00000606	detected
WBGene00000608	detected
WBGene00000609	detected
